brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
FREMONT FISH MARKET,"Wild Caught Frozen Pink Salmon, 16 oz",16 oz,$8.45,404.99318750000003,80.9986375,453.5923700000001
FREMONT FISH MARKET,"Medium Cooked in Shell Shrimp, 12 oz",12 oz,$6.49,320.1828494117648,76.04342673529413,340.19427750000006
FREMONT FISH MARKET,"Large Cooked Shrimp, 12 oz",12 oz,$7.39,301.0568827433629,57.200807721238945,340.19427750000006
FREMONT FISH MARKET,"Value Pack Cod Fillets, 32 oz",32 oz,$14.29,722.5365185840709,144.50730371681416,907.1847400000001
FREMONT FISH MARKET,"Flounder Fillets, 16 oz",16 oz,$6.59,321.1273415929204,68.23956008849558,453.5923700000001
SEASON'S CHOICE,"Steamable Frozen Asparagus Spears, 8 oz",8 oz,$3.19,53.36380823529413,8.004571235294119,226.79618500000004
SUNDAE SHOPPE,"Mint Chocolate Chip Ice Cream, 48 fl oz",48 fl oz,$3.25,,,
KIRKWOOD,"Chicken Breast Nuggets, 29 oz",29 oz,$5.89,1934.438048529412,116.06628291176472,822.1361706250001
SEASON'S CHOICE,"Frozen Steam Cut Green Beans, 12 oz",12 oz,$1.09,114.67222837078654,3.822407612359551,340.19427750000006
SEASON'S CHOICE,"Steamable Frozen Mixed Vegetable, 12 oz",12 oz,$1.09,200.11428088235297,8.004571235294119,340.19427750000006
SEASON'S CHOICE,"Steamable Frozen Sweet Garden Peas, 12 oz",12 oz,$1.09,256.0602088709678,18.290014919354842,340.19427750000006
FREMONT FISH MARKET,"Jumbo EZ Peel Raw Shrimp, 12 oz",12 oz,$7.25,270.9511944690266,60.211376548672575,340.19427750000006
FREMONT FISH MARKET,"Jumbo Cooked Shrimp, 12 oz",12 oz,$7.69,320.1828494117648,72.04114111764707,340.19427750000006
FREMONT FISH MARKET,"Beer Battered Cod Fillets, 13.1 oz",13.1 oz,$4.69,762.6527962109376,36.474698949218755,371.37875293750005
KIRKWOOD,"Chicken Fries, 24 oz",24 oz,$5.19,1921.0970964705884,80.0457123529412,680.3885550000001
KIRKWOOD,"Buffalo Crispy Chicken Strips, 25 oz",25 oz,$7.15,1603.098033854167,101.24829687500002,708.7380781250001
FREMONT FISH MARKET,"Jumbo Breaded Butterfly Shrimp, 9 oz",9 oz,$3.85,688.8934119375001,28.066027893750007,255.14570812500006
SEASON'S CHOICE,"Frozen Plain Riced Cauliflower, 12 oz",12 oz,$1.89,80.0457123529412,4.002285617647059,340.19427750000006
BELMONT,"Turtle Cheesecake Twin Pack, 6 oz",6 oz,$1.99,618.5350500000001,8.590764583333335,170.09713875000003
WHOLE & SIMPLE,"Southwest Chicken Quinoa Bowl, 10.5 oz",10.5 oz,$4.05,319.64562986577187,15.982281493288593,297.6699928125
WHOLE & SIMPLE,"Mediterranean Chicken Quinoa Bowl, 10.5 oz",10.5 oz,$4.05,329.63455579907725,16.98117408661913,297.6699928125
BELMONT,"New York Cheesecake Twin Pack, 6 oz",6 oz,$1.99,540.308558382353,8.004571235294119,170.09713875000003
SUNDAE SHOPPE,"Vanilla Ice Cream, 1 gal",128 fl oz,$7.15,,,
EARTH GROWN,"Vegan Zesty Italian Meatless Meatballs, 16 oz",16 oz,$5.69,960.5485482352943,85.3820931764706,453.5923700000001
BREAKFAST BEST,"Sausage, Egg and Cheese Biscuit Sandwiches, 4 count",18 oz,$4.75,1634.5271926757816,43.853168583984385,510.2914162500001
NATURE'S NECTAR,"100% Orange Juice Concentrate, 12 oz",12 oz,$3.45,,,
BREMER,"Alfredo Chicken Skillet, 21 oz",21 oz,$4.65,631.4211968750001,39.08797885416667,595.339985625
SPECIALLY SELECTED,"Mussels in Garlic Butter Sauce, 16 oz",16 oz,$3.55,421.1929150000001,38.879346000000005,453.5923700000001
SPECIALLY SELECTED,"Mussels in Tomato Garlic Sauce, 16 oz",16 oz,$3.55,319.4312464788733,38.33174957746479,453.5923700000001
SEASON'S CHOICE,"Frozen Blueberries, 24 oz",24 oz,$4.65,340.19427750000006,4.859918250000001,680.3885550000001
FREMONT FISH MARKET,"Value Pack Wild Caught Pink Salmon, 32 oz",32 oz,$11.39,809.9863750000001,161.997275,907.1847400000001
FUSIA ASIAN INSPIRATIONS,"General Tso's Chicken, 26 oz",26 oz,$8.05,,,
BREAKFAST BEST,"Canadian Bacon, Egg and Cheese Muffin Sandwiches, 4 count",18 oz,$4.75,962.0248011270495,54.37531484631149,510.2914162500001
BREAKFAST BEST,"Meat Lovers Breakfast Bowl, 7 oz",7 oz,$1.65,451.015140625,21.047373229166666,198.44666187500002
SEASON'S CHOICE,"Garlic Riced Cauliflower, 12 oz",12 oz,$1.89,80.0457123529412,4.002285617647059,340.19427750000006
FREMONT FISH MARKET,"Jumbo Coconut Breaded Butterfly Shrimp, 9 oz",9 oz,$3.85,,,
FREMONT FISH MARKET,"Medium EZ Peel Raw Shrimp, 12 oz",12 oz,$6.79,301.0568827433629,57.200807721238945,340.19427750000006
SEASON'S CHOICE,"Frozen Shredded Hash Browns, 30 oz",30 oz,$4.09,765.4371243750002,17.009713875000003,850.4856937500001
SEASON'S CHOICE,"Steamable Frozen Brussels Sprouts, 12 oz",12 oz,$1.55,140.07999661764708,12.006856852941178,340.19427750000006
CASA MAMITA,"Bean and Cheese Burritos, 8 count",32 oz,$4.19,1926.7640495575224,64.22546831858408,907.1847400000001
FUSIA ASIAN INSPIRATIONS,"Asian Inspirations Chicken Lo Mein, 20 oz",20 oz,$6.29,535.9611337064678,28.20848072139304,566.9904625000001
BREAKFAST BEST,"Sausage, Egg and Cheese Croissant Breakfast Sandwich, 18 oz",18 oz,$6.29,1435.1946082031254,55.81312365234376,510.2914162500001
FREMONT FISH MARKET,"Crunchy Fish Fillets, 19 oz",19 oz,$5.79,965.4884762382078,45.73366466391511,538.6409393750001
FREMONT FISH MARKET,"Wild Caught Breaded Fish Sticks, 24 oz",24 oz,$5.79,1310.840335321101,62.420968348623866,680.3885550000001
SUNDAE SHOPPE,"Moose Tracks Ice Cream, 48 oz",48 fl oz,$3.25,,,
BREAKFAST BEST,"Pre-Cooked Original Sausage Patties, 32 oz",32 oz,$8.79,3991.6128560000006,108.8621688,907.1847400000001
SEASON'S CHOICE,"Seasoned French Fries, 32 oz",32 oz,$3.19,1295.9782,21.59963666666667,907.1847400000001
MAMA COZZI'S PIZZA KITCHEN,"French Bread Pepperoni Pizza, 2 count",11.25 oz,$2.99,822.4036189563682,32.09379976415095,318.93213515625007
KIRKWOOD,"Grilled Chicken Breast Strips, 22 oz",22 oz,$8.25,816.7362614583334,126.22287677083335,623.6895087500001
