brand,name,weight,price
CLANCY'S,"Original Kettle Chips, 8 oz",8 oz,$1.65
BENTON'S,"Blueberry Breakfast Biscuits, 8.8 oz",8.8 oz,$2.85
BENTON'S,"Chocolate Chip Cookies, 13 oz",13 oz,$2.55
SOUTHERN GROVE,"Almond, Dark Chocolate & Cashews Trail Mix, 15 oz",15 oz,$5.39
SOUTHERN GROVE,"Sweet & Salty Trail Mix, 8 count",8 ct,$3.65
CHOCEUR,"Milk Mini Chocolate Bars, 5 count",5 x 1.4 oz.,$3.29
SIMPLY NATURE,"Organic Blue Corn Tortilla Chips, 8.25 oz",8.25 oz,$2.45
BENTON'S,"Mini Bear Chocolate Grahams Snack Packs, 12 oz",12 oz,$4.39
SIMPLY NATURE,"Organic Multigrain Tortilla Chips, 8.25 oz",8.25 oz,$2.45
SOUTHERN GROVE,"California Raisins, 20 oz",20 oz,$4.79
CLANCY'S,"Pretzel Mini Twists, 1 lb",16 oz,$2.19
CLANCY'S,"Mesquite Barbecue Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Jalapeño Kettle Chips, 8 oz",8 oz,$1.65
CLANCY'S,"Sea Salt and Vinegar Kettle Chips, 8 oz",8 oz,$1.65
SOUTHERN GROVE,"Dry Roasted Unsalted Peanuts, 16 oz",16 oz,$2.35
SOUTHERN GROVE,"Dried Mixed Berries, 5 oz",5 oz,$3.09
SOUTHERN GROVE,"Mountain Trail Mix, 26 oz",26 oz,$6.85
SOUTHERN GROVE,"Tropical Trail Mix, 26 oz",26 oz,$6.85
CLANCY'S,"Wavy Potato Chips, 10 oz",10 oz,$1.75
CLANCY'S,"Barbecue Potato Chips, 9.5 oz",9.5 oz,$1.75
CLANCY'S,"Restaurant Style Tortilla Chips, 13 oz",13 oz,$1.65
CLANCY'S,"Original Baked Potato Crisps, 6.25 oz",6.25 oz,$2.99
SOUTHERN GROVE,"Shelled Walnuts, 16 oz",16 oz,$6.49
SAVORITZ,"Butter Entertainment Crackers, 7 oz",7 oz,$1.65
BENTON'S,"Mini Bear Honey Grahams Snack Packs, 12 oz",12 oz,$4.39
SOUTHERN GROVE,"Indulgent Trail Mix, 26 oz",26 oz,$6.85
SAVORITZ,"Saltine Crackers, 16 oz",16 oz,$1.95
BENTON'S,"Double Filled Chocolate Sandwich Creme Cookies, 15.35 oz",15.35 oz,$3.05
CHOCEUR,"Dark Chocolate Coconut Covered Almonds, 10 oz",10 oz,$6.29
CLANCY'S,"Sour Cream and Onion Stackerz Potato Crisps, 5.5 oz",5.5 oz,$1.65
SOUTHERN GROVE,"Unsalted Whole Almonds, 14 oz",14 oz,$6.55
SIMPLY NATURE,"Organic Peppered Beef Jerky, 2.5 oz",2.85 oz,$3.55
CHOCEUR,"Superberry Pomegranate Dark Chocolate, 7 oz",7 oz,$4.39
SOUTHERN GROVE,"Deluxe Mixed Nuts with Sea Salt, 30 oz",,$14.29
CHOCEUR,"Dark Mini Chocolate Bars - 5 pack, 1.4 oz","5 x 1.4 oz,",$3.29
CHOCEUR,"Strawberry Yogurt Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85
CHOCEUR,"Milk Hazelnut Crisp Filled Mini Chocolate Bars, 7.05 oz",7.05 oz,$3.85
MOSER ROTH,"Dark Chili Chocolate Bar, 4.4 oz",4.4 oz,$3.29
CHOCEUR,"Hazelnut Crunch Mini Chocolate Bars - 5 pack, 1.4 oz",5 x 1.4 oz.,$3.29
MOSER ROTH,"Sea Salt Dark Chocolate Bar, 4.4 oz",4.4 oz.,$3.29
